index,brand,model,mileage,price_range,link
3708.,TOYOTA,HILUX VIGO J STD 2.7i (CNG),"3,259","245,000 - 335,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-j-std-2-7i-cng-manual
3709.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab E Man 5sp 4WD 2.5DCT-201107,-,"230,000 - 430,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-e-man-5sp-4wd-2-5dct-201107-manual
3710.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab E Man 5sp RWD 2.5DCT-201107,-,"200,000 - 370,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-e-man-5sp-rwd-2-5dct-201107-manual
3711.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab E TRD Sportivo Man 5sp RWD 2.5DCT-201107,-,"215,000 - 400,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-e-trd-sportivo-man-5sp-rwd-2-5dct-201107-manual
3712.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab E TRD Sportivo Man 5sp RWD 2.5DCT-201309,-,"315,000 - 435,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-e-trd-sportivo-man-5sp-rwd-2-5dct-201309-manual
3713.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab G Man 5sp 4WD 3.0DCT-200809,-,"220,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-g-man-5sp-4wd-3-0dct-200809-manual
3714.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab G Man 5sp 4WD 3.0DCT-201107,-,"260,000 - 475,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-g-man-5sp-4wd-3-0dct-201107-manual
3715.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab G Man 5sp RWD 3.0DCT-200809,-,"200,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-g-man-5sp-rwd-3-0dct-200809-manual
3716.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner E Man 5sp RWD 2.5DCT-201107,-,"210,000 - 390,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-e-man-5sp-rwd-2-5dct-201107-manual
3717.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner E Man 5sp RWD 2.5DCT (ABS)-201107,-,"220,000 - 415,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-e-man-5sp-rwd-2-5dct-abs-201107-manual
3718.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner E TRD Sportivo Man 5sp RWD 2.5DCT (ABS)-201211,-,"235,000 - 440,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-e-trd-sportivo-man-5sp-rwd-2-5dct-abs-201211-manual
3719.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner E TRD Sportivo Man 5sp RWD 2.5DCT (ABS)-201309,-,"340,000 - 475,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-e-trd-sportivo-man-5sp-rwd-2-5dct-abs-201309-manual
3720.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner G Man 5sp RWD 3.0DCT-200909,-,"205,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-g-man-5sp-rwd-3-0dct-200909-manual
3721.,TOYOTA,HILUX VIGO Pickup 2dr Smart Cab Prerunner G Man 5sp RWD 3.0DCT-201007,-,"240,000 - 445,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-2dr-smart-cab-prerunner-g-man-5sp-rwd-3-0dct-201007-manual
3722.,TOYOTA,HILUX VIGO Pickup 4dr DCab E Man 5sp 4WD 2.5DCT-201107,-,"245,000 - 475,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-e-man-5sp-4wd-2-5dct-201107-manual
3723.,TOYOTA,HILUX VIGO Pickup 4dr DCab E Man 5sp 4WD 2.5DCT-201309,-,"280,000 - 505,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-e-man-5sp-4wd-2-5dct-201309-manual
3724.,TOYOTA,HILUX VIGO Pickup 4dr DCab E Man 5sp RWD 2.5DCT-201107,-,"225,000 - 425,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-e-man-5sp-rwd-2-5dct-201107-manual
3725.,TOYOTA,HILUX VIGO Pickup 4dr DCab E Man 5sp RWD 2.5DCT-201309,-,"230,000 - 435,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-e-man-5sp-rwd-2-5dct-201309-manual
3726.,TOYOTA,HILUX VIGO Pickup 4dr DCab E Man 5sp RWD 2.7i (Benzene)-201309,-,"200,000 - 355,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-e-man-5sp-rwd-2-7i-benzene-201309-manual
3727.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Auto 4sp 4WD 3.0DCT-200809,-,"260,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-auto-4sp-4wd-3-0dct-200809-automatic
3728.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Auto 4sp RWD 3.0DCT-200809,-,"230,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-auto-4sp-rwd-3-0dct-200809-automatic
3729.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Man 5sp 4WD 3.0DCT-200809,-,"255,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-man-5sp-4wd-3-0dct-200809-manual
3730.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Man 5sp 4WD 3.0DCT-201107,-,"295,000 - 545,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-man-5sp-4wd-3-0dct-201107-manual
3731.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Man 5sp RWD 2.5DCT-200809,-,"205,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-man-5sp-rwd-2-5dct-200809-manual
